Systematic Name,TPM Glucose,TPM YEP,TPM Galactose,TPM Glucose_2,TPM YEP_2,TPM Galactose_2
YNL201C,11.6106,8.65459,11.5136,12.8325,10.5421,17.0907
YNL202W,2.30739,19.0331,4.16342,1.99086,18.9178,4.76769
YNL203C,1.76764,4.99242,3.08783,1.90523,6.78215,2.93522
YNL204C,3.16848,2.61827,2.39257,2.14125,2.66821,2.77169
YNL205C,1.04417,0.510225,0.70095,0.549986,0.37135,0.098082
YNL206C,18.9008,15.2911,14.1778,18.3567,15.7428,16.8368
YNL207W,35.8116,19.4544,22.2436,29.1779,16.9044,19.2449
YNL208W,113.859,284.3,148.54,133.329,272.589,164.633
YNL209W,580.395,419.361,407.092,581.94,381.852,478.13
YNL210W,3.89768,2.31496,2.57312,3.80712,2.00242,3.14439
YNL211C,43.0736,33.7861,34.7654,47.5979,31.2342,31.7746
YNL212W,11.9779,12.8659,11.0565,14.5358,16.5443,15.4681
YNL213C,23.6824,32.557,28.1299,20.7186,32.8502,28.3939
YNL214W,5.65455,12.0841,6.83011,7.09952,13.9205,10.9902
YNL215W,20.5124,24.1368,21.0604,19.6514,25.6546,25.286
YNL216W,14.6722,14.9777,14.3265,15.9927,14.7556,17.6958
YNL217W,51.3803,27.8308,27.9434,62.0366,28.1895,32.1872
YNL218W,5.96692,4.8432,4.61603,5.08696,4.9455,4.94328
YNL219C,20.9838,17.1775,14.763,21.6321,17.0323,19.323
YNL220W,82.3045,33.3561,35.642,70.5443,35.952,33.8361
YNL221C,17.9566,11.9153,13.141,14.9097,9.66552,12.8464
YNL222W,13.7574,13.1143,11.7436,12.7111,15.814,10.7617
YNL223W,3.69511,6.42081,4.4098,4.09744,7.86139,6.80158
YNL224C,8.17063,6.67781,6.23077,7.97523,7.53383,7.09495
YNL225C,6.96844,8.27698,7.41895,6.50221,8.86474,6.77523
YNL226W,2.90553,2.48679,1.62995,3.00297,2.92757,2.95313
YNL227C,13.6407,9.31108,8.60753,13.0446,8.99889,9.82235
YNL228W,11.8626,8.12154,7.5757,6.76308,4.53697,5.51302
YNL229C,45.9396,46.9505,45.6968,46.1969,53.2582,50.0244
YNL230C,6.56989,4.35866,4.71546,7.38538,4.28574,6.39702
YNL231C,49.6123,30.3021,32.5716,52.8664,28.977,34.8478
YNL232W,48.2212,31.097,31.921,38.3993,28.2798,29.3005
YNL233W,8.37855,8.23552,7.0165,8.0197,8.8572,8.11883
YNL234W,8.12431,2.45417,2.78129,9.05015,2.39112,4.53518
YNL235C,8.40719,6.36967,5.55808,4.20543,2.23375,4.89599
